DrawDate,LottoType,DrawSystemId,TicketPrice,WinPoolCount1,WinPoolAmount1,WinPoolCount2,WinPoolAmount2,WinPoolCount3,WinPoolAmount3,WinPoolCount4,WinPoolAmount4,Number1,Number2,Number3,Number4,Number5,Number6
2025-05-29,LottoPlus,7202,,,,,,,,,,4,34,38,39,47,48
2025-05-27,LottoPlus,7201,,,,,,,,,,13,18,19,37,44,45
2025-05-24,LottoPlus,7200,,,,,,,,,,22,24,28,31,35,39
2025-05-22,LottoPlus,7199,,,,,,,,,,1,9,11,13,25,49
2025-05-20,LottoPlus,7198,,,,,,,,,,4,6,19,25,42,49
2025-05-17,LottoPlus,7197,,,,,,,,,,3,12,16,26,34,35
2025-05-15,LottoPlus,7196,,,,,,,,,,5,9,23,32,35,45
2025-05-13,LottoPlus,7195,,,,,,,,,,1,4,12,15,16,37
2025-05-10,LottoPlus,7194,,,,,,,,,,6,12,23,30,38,45
2025-05-08,LottoPlus,7193,,,,,,,,,,7,17,28,34,40,47
2025-05-06,LottoPlus,7192,,,,,,,,,,18,24,26,28,35,45
2025-05-03,LottoPlus,7191,,,,,,,,,,12,25,30,35,40,43
2025-05-01,LottoPlus,7190,,,,,,,,,,1,16,24,41,46,49
2025-04-29,LottoPlus,7189,,,,,,,,,,6,7,13,15,29,46
2025-04-26,LottoPlus,7188,,,,,,,,,,8,17,29,37,45,47
2025-04-24,LottoPlus,7187,,,,,,,,,,3,33,41,46,47,49
2025-04-22,LottoPlus,7186,,,,,,,,,,7,8,12,15,21,48
2025-04-19,LottoPlus,7185,,,,,,,,,,8,13,19,21,24,36
2025-04-17,LottoPlus,7184,,,,,,,,,,7,14,31,35,46,47
2025-04-15,LottoPlus,7183,,,,,,,,,,8,26,27,36,41,44
2025-04-12,LottoPlus,7182,,,,,,,,,,6,14,21,33,35,41
2025-04-10,LottoPlus,7181,,,,,,,,,,6,11,13,21,38,40
2025-04-08,LottoPlus,7180,,,,,,,,,,12,20,25,32,36,46
2025-04-05,LottoPlus,7179,,,,,,,,,,2,13,24,30,38,41
2025-04-03,LottoPlus,7178,,,,,,,,,,1,3,22,32,36,38
2025-04-01,LottoPlus,7177,,,,,,,,,,14,29,35,41,42,47
2025-03-29,LottoPlus,7176,,,,,,,,,,2,15,23,26,35,44
2025-03-27,LottoPlus,7175,,,,,,,,,,6,14,26,27,32,44
2025-03-25,LottoPlus,7174,,,,,,,,,,13,18,20,30,40,48
2025-03-22,LottoPlus,7173,,,,,,,,,,5,9,15,35,41,44
2025-03-20,LottoPlus,7172,,,,,,,,,,9,20,30,44,45,49
2025-03-18,LottoPlus,7171,,,,,,,,,,7,20,35,36,42,48
2025-03-15,LottoPlus,7170,,,,,,,,,,11,21,31,32,42,48
2025-03-13,LottoPlus,7169,,,,,,,,,,1,12,18,21,25,48
2025-03-11,LottoPlus,7168,,,,,,,,,,5,7,16,19,28,40
2025-03-08,LottoPlus,7167,,,,,,,,,,13,14,24,30,31,34
2025-03-06,LottoPlus,7166,,,,,,,,,,15,20,39,42,43,46
2025-03-04,LottoPlus,7165,,,,,,,,,,25,27,29,31,42,44
2025-03-01,LottoPlus,7164,,,,,,,,,,6,8,19,25,37,42
2025-02-27,LottoPlus,7163,,,,,,,,,,9,20,23,30,35,45
2025-02-25,LottoPlus,7162,,,,,,,,,,10,26,33,45,46,49
2025-02-22,LottoPlus,7161,,,,,,,,,,12,20,21,26,31,41
2025-02-20,LottoPlus,7160,,,,,,,,,,10,16,28,36,44,48
2025-02-18,LottoPlus,7159,,,,,,,,,,6,20,25,32,43,46
2025-02-15,LottoPlus,7158,,,,,,,,,,17,33,35,36,46,49
2025-02-13,LottoPlus,7157,,,,,,,,,,12,20,27,34,36,46
2025-02-11,LottoPlus,7156,,,,,,,,,,5,13,18,24,29,36
2025-02-08,LottoPlus,7155,,,,,,,,,,31,32,38,40,41,49
2025-02-06,LottoPlus,7154,,,,,,,,,,8,25,30,34,38,42
2025-02-04,LottoPlus,7153,,,,,,,,,,5,9,20,21,25,36
2025-02-01,LottoPlus,7152,,,,,,,,,,1,16,27,28,31,40
2025-01-30,LottoPlus,7151,,,,,,,,,,11,16,21,29,36,40
2025-01-28,LottoPlus,7150,,,,,,,,,,4,7,21,27,44,47
2025-01-25,LottoPlus,7149,,,,,,,,,,4,9,17,35,40,47
2025-01-23,LottoPlus,7148,,,,,,,,,,8,19,20,27,35,44
2025-01-21,LottoPlus,7147,,,,,,,,,,3,8,26,32,43,44
2025-01-18,LottoPlus,7146,,,,,,,,,,12,13,20,33,43,44
2025-01-16,LottoPlus,7145,,,,,,,,,,1,12,29,35,37,49
2025-01-14,LottoPlus,7144,,,,,,,,,,11,14,31,40,43,49
2025-01-11,LottoPlus,7143,,,,,,,,,,7,15,19,22,38,42
2025-01-09,LottoPlus,7142,,,,,,,,,,2,5,6,8,40,41
2025-01-07,LottoPlus,7141,,,,,,,,,,14,21,29,41,43,47
2025-01-04,LottoPlus,7140,,,,,,,,,,5,11,17,33,46,48
2025-01-02,LottoPlus,7139,,,,,,,,,,16,17,29,34,39,41
2024-12-31,LottoPlus,7138,,,,,,,,,,18,19,27,28,29,32
2024-12-28,LottoPlus,7137,,,,,,,,,,2,5,17,30,35,41
2024-12-26,LottoPlus,7136,,,,,,,,,,15,16,19,24,31,37
2024-12-24,LottoPlus,7135,,,,,,,,,,4,8,9,14,23,45
2024-12-21,LottoPlus,7134,,,,,,,,,,14,15,19,26,37,43
2024-12-19,LottoPlus,7133,,,,,,,,,,8,16,22,28,37,45
2024-12-17,LottoPlus,7132,,,,,,,,,,1,3,19,23,37,45
2024-12-14,LottoPlus,7131,,,,,,,,,,12,14,22,26,29,31
2024-12-12,LottoPlus,7130,,,,,,,,,,8,14,25,27,28,48
2024-12-10,LottoPlus,7129,,,,,,,,,,7,13,21,26,29,47
2024-12-07,LottoPlus,7128,,,,,,,,,,2,24,28,29,33,39
2024-12-05,LottoPlus,7127,,,,,,,,,,21,27,36,38,41,45
2024-12-03,LottoPlus,7126,,,,,,,,,,1,2,20,25,37,45
2024-11-30,LottoPlus,7125,,,,,,,,,,11,16,23,34,37,44
2024-11-28,LottoPlus,7124,,,,,,,,,,5,6,9,40,41,45
2024-11-26,LottoPlus,7123,,,,,,,,,,6,7,13,39,41,46
2024-11-23,LottoPlus,7122,,,,,,,,,,4,16,32,38,40,48
2024-11-21,LottoPlus,7121,,,,,,,,,,12,13,18,25,39,41
2024-11-19,LottoPlus,7120,,,,,,,,,,13,19,25,26,36,45
2024-11-16,LottoPlus,7119,,,,,,,,,,13,19,20,25,38,39
2024-11-14,LottoPlus,7118,,,,,,,,,,6,15,23,35,38,41
2024-11-12,LottoPlus,7117,,,,,,,,,,14,18,23,27,31,49
2024-11-09,LottoPlus,7116,,,,,,,,,,2,7,14,22,31,39
2024-11-07,LottoPlus,7115,,,,,,,,,,2,7,8,15,16,48
2024-11-05,LottoPlus,7114,,,,,,,,,,1,2,17,20,28,38
2024-11-02,LottoPlus,7113,,,,,,,,,,3,13,24,29,38,45
2024-10-31,LottoPlus,7112,,,,,,,,,,17,18,19,21,38,41
2024-10-29,LottoPlus,7111,,,,,,,,,,15,19,40,41,44,49
2024-10-26,LottoPlus,7110,,,,,,,,,,6,8,18,19,25,31
2024-10-24,LottoPlus,7109,,,,,,,,,,5,24,26,27,42,45
2024-10-22,LottoPlus,7108,,,,,,,,,,11,14,32,45,48,49
2024-10-19,LottoPlus,7107,,,,,,,,,,12,23,24,30,41,46
2024-10-17,LottoPlus,7106,,,,,,,,,,3,15,17,20,39,40
2024-10-15,LottoPlus,7105,,,,,,,,,,11,20,33,35,41,43
2024-10-12,LottoPlus,7104,,,,,,,,,,15,16,22,23,24,36
2024-10-10,LottoPlus,7103,,,,,,,,,,5,14,25,31,37,48
2024-10-08,LottoPlus,7102,,,,,,,,,,7,8,15,34,41,49
2024-10-05,LottoPlus,7101,,,,,,,,,,13,20,21,23,25,34
2024-10-03,LottoPlus,7100,,,,,,,,,,8,11,12,15,23,33
2024-10-01,LottoPlus,7099,,,,,,,,,,8,21,28,29,30,46
2024-09-28,LottoPlus,7098,,,,,,,,,,6,10,30,31,35,46
2024-09-26,LottoPlus,7097,,,,,,,,,,3,4,8,35,41,48
2024-09-24,LottoPlus,7096,,,,,,,,,,1,7,27,30,44,48
2024-09-21,LottoPlus,7095,,,,,,,,,,8,21,28,35,42,49
2024-09-19,LottoPlus,7094,,,,,,,,,,2,9,10,12,13,31
2024-09-17,LottoPlus,7093,,,,,,,,,,3,9,20,24,30,44
2024-09-14,LottoPlus,7092,,,,,,,,,,17,21,24,29,31,36
2024-09-12,LottoPlus,7091,,,,,,,,,,8,9,18,19,38,45
2024-09-10,LottoPlus,7090,,,,,,,,,,6,26,28,36,40,43
2024-09-07,LottoPlus,7089,,,,,,,,,,10,23,28,33,34,46
2024-09-05,LottoPlus,7088,,,,,,,,,,10,26,28,32,33,38
2024-09-03,LottoPlus,7087,,,,,,,,,,3,9,12,16,27,29
2024-08-31,LottoPlus,7086,,,,,,,,,,4,8,11,16,25,33
2024-08-29,LottoPlus,7085,,,,,,,,,,2,13,19,23,28,49
2024-08-27,LottoPlus,7084,,,,,,,,,,1,10,22,26,30,33
2024-08-24,LottoPlus,7083,,,,,,,,,,1,5,25,34,38,40
2024-08-22,LottoPlus,7082,,,,,,,,,,1,8,18,20,29,36
2024-08-20,LottoPlus,7081,,,,,,,,,,3,12,13,23,31,49
2024-08-17,LottoPlus,7080,,,,,,,,,,15,16,23,34,35,43
2024-08-15,LottoPlus,7079,,,,,,,,,,12,14,22,25,38,40
2024-08-13,LottoPlus,7078,,,,,,,,,,3,5,23,26,38,47
2024-08-10,LottoPlus,7077,,,,,,,,,,4,6,19,20,32,48
2024-08-08,LottoPlus,7076,,,,,,,,,,2,10,26,28,30,46
2024-08-06,LottoPlus,7075,,,,,,,,,,13,15,17,22,42,44
2024-08-03,LottoPlus,7074,,,,,,,,,,1,9,10,24,38,43
2024-08-01,LottoPlus,7073,,,,,,,,,,3,4,11,27,34,45
2024-07-30,LottoPlus,7072,,,,,,,,,,3,9,12,37,41,45
2024-07-27,LottoPlus,7071,,,,,,,,,,16,19,23,30,39,46
2024-07-25,LottoPlus,7070,,,,,,,,,,7,8,15,27,28,30
2024-07-23,LottoPlus,7069,,,,,,,,,,2,5,16,22,30,33
2024-07-20,LottoPlus,7068,,,,,,,,,,6,22,33,46,48,49
2024-07-18,LottoPlus,7067,,,,,,,,,,7,26,30,32,43,45
2024-07-16,LottoPlus,7066,,,,,,,,,,5,10,21,26,29,49
2024-07-13,LottoPlus,7065,,,,,,,,,,15,21,22,24,41,44
2024-07-11,LottoPlus,7064,,,,,,,,,,7,8,23,27,39,44
2024-07-09,LottoPlus,7063,,,,,,,,,,1,7,30,34,35,40
2024-07-06,LottoPlus,7062,,,,,,,,,,2,5,10,15,42,46
2024-07-04,LottoPlus,7061,,,,,,,,,,3,10,13,17,18,28
2024-07-02,LottoPlus,7060,,,,,,,,,,8,9,19,22,23,43
2024-06-29,LottoPlus,7059,,,,,,,,,,11,14,34,35,36,43
2024-06-27,LottoPlus,7058,,,,,,,,,,20,29,34,38,47,49
2024-06-25,LottoPlus,7057,,,,,,,,,,7,28,30,38,41,45
2024-06-22,LottoPlus,7056,,,,,,,,,,5,6,11,17,35,46
2024-06-20,LottoPlus,7055,,,,,,,,,,4,5,12,19,20,30
2024-06-18,LottoPlus,7054,,,,,,,,,,5,7,15,17,24,31
2024-06-15,LottoPlus,7053,,,,,,,,,,4,32,34,39,45,46
2024-06-13,LottoPlus,7052,,,,,,,,,,17,30,34,36,38,47
2024-06-11,LottoPlus,7051,,,,,,,,,,10,23,30,35,42,44
2024-06-08,LottoPlus,7050,,,,,,,,,,20,21,23,24,28,46
2024-06-06,LottoPlus,7049,,,,,,,,,,12,20,34,37,39,47
2024-06-04,LottoPlus,7048,,,,,,,,,,7,8,9,16,28,30
2024-06-01,LottoPlus,7047,,,,,,,,,,10,19,24,28,45,46
2024-05-30,LottoPlus,7046,,,,,,,,,,9,24,29,35,38,42
2024-05-28,LottoPlus,7045,,,,,,,,,,5,7,22,23,26,44
2024-05-25,LottoPlus,7044,,,,,,,,,,15,22,24,37,42,44
2024-05-23,LottoPlus,7043,,,,,,,,,,9,12,16,29,34,36
2024-05-21,LottoPlus,7042,,,,,,,,,,16,22,23,28,30,38
2024-05-18,LottoPlus,7041,,,,,,,,,,1,17,26,27,35,41
2024-05-16,LottoPlus,7040,,,,,,,,,,1,13,17,20,23,34
2024-05-14,LottoPlus,7039,,,,,,,,,,8,9,11,12,24,43
2024-05-11,LottoPlus,7038,,,,,,,,,,2,11,18,21,34,44
2024-05-09,LottoPlus,7037,,,,,,,,,,2,3,9,15,42,43
2024-05-07,LottoPlus,7036,,,,,,,,,,3,11,12,14,20,36
2024-05-04,LottoPlus,7035,,,,,,,,,,7,10,17,25,26,49
2024-05-02,LottoPlus,7034,,,,,,,,,,4,12,24,30,33,36
2024-04-30,LottoPlus,7033,,,,,,,,,,14,27,29,30,39,45
2024-04-27,LottoPlus,7032,,,,,,,,,,4,24,29,34,48,49
2024-04-25,LottoPlus,7031,,,,,,,,,,14,23,28,32,33,41
2024-04-23,LottoPlus,7030,,,,,,,,,,6,14,20,38,39,40
2024-04-20,LottoPlus,7029,,,,,,,,,,2,4,20,28,33,36
2024-04-18,LottoPlus,7028,,,,,,,,,,1,6,14,36,37,40
2024-04-16,LottoPlus,7027,,,,,,,,,,18,23,29,32,45,46
2024-04-13,LottoPlus,7026,,,,,,,,,,11,24,26,29,31,46
2024-04-11,LottoPlus,7025,,,,,,,,,,3,8,11,28,36,37
2024-04-09,LottoPlus,7024,,,,,,,,,,1,2,6,9,18,32
2024-04-06,LottoPlus,7023,,,,,,,,,,2,4,7,17,30,40
2024-04-04,LottoPlus,7022,,,,,,,,,,1,23,26,29,37,39
2024-04-02,LottoPlus,7021,,,,,,,,,,3,8,10,13,20,38
2024-03-30,LottoPlus,7020,,,,,,,,,,1,8,10,18,37,49
2024-03-28,LottoPlus,7019,,,,,,,,,,16,22,28,31,45,47
2024-03-26,LottoPlus,7018,,,,,,,,,,9,13,18,27,33,34
2024-03-23,LottoPlus,7017,,,,,,,,,,2,8,29,35,38,43
2024-03-21,LottoPlus,7016,,,,,,,,,,6,9,10,11,18,22
2024-03-19,LottoPlus,7015,,,,,,,,,,13,19,22,25,36,44
2024-03-16,LottoPlus,7014,,,,,,,,,,4,14,23,24,35,49
2024-03-14,LottoPlus,7013,,,,,,,,,,3,13,18,35,38,39
2024-03-12,LottoPlus,7012,,,,,,,,,,8,9,12,13,25,38
2024-03-09,LottoPlus,7011,,,,,,,,,,2,12,25,37,42,44
2024-03-07,LottoPlus,7010,,,,,,,,,,6,14,16,21,33,41
2024-03-05,LottoPlus,7009,,,,,,,,,,7,17,27,33,36,41
2024-03-02,LottoPlus,7008,,,,,,,,,,6,18,21,29,34,38
2024-02-29,LottoPlus,7007,,,,,,,,,,2,5,6,21,31,46
